gene_id,log2FoldChange,neg_log10_padj,regulation
Gene_001,4.397,3.413,Up-regulated
Gene_002,2.747,3.371,Up-regulated
Gene_003,2.854,3.436,Up-regulated
Gene_004,2.687,3.554,Up-regulated
Gene_005,3.675,3.441,Up-regulated
Gene_006,3.546,3.468,Up-regulated
Gene_007,3.175,3.931,Up-regulated
Gene_008,2.79,3.56,Up-regulated
Gene_009,2.613,3.414,Up-regulated
Gene_010,3.466,3.8,Up-regulated
Gene_011,3.174,3.485,Up-regulated
Gene_012,3.02,3.618,Up-regulated
Gene_013,4.583,3.599,Up-regulated
Gene_014,3.442,4.347,Up-regulated
Gene_015,4.389,3.477,Up-regulated
Gene_016,-3.32,3.364,Down-regulated
Gene_017,-2.853,4.15,Down-regulated
Gene_018,-3.033,3.737,Down-regulated
Gene_019,-4.019,4.614,Down-regulated
Gene_020,-2.143,4.829,Down-regulated
Gene_021,-3.081,3.306,Down-regulated
Gene_022,-2.552,3.608,Down-regulated
Gene_023,-3.451,3.75,Down-regulated
Gene_024,-3.099,3.862,Down-regulated
Gene_025,-3.52,3.31,Down-regulated
Gene_026,-2.258,3.899,Down-regulated
Gene_027,-2.813,3.44,Down-regulated
Gene_028,0.513,0.076,Not significant
Gene_029,0.025,0.394,Not significant
Gene_030,-0.679,0.224,Not significant
Gene_031,-0.839,0.23,Not significant
Gene_032,-0.602,0.077,Not significant
Gene_033,0.178,0.561,Not significant
Gene_034,-0.022,0.479,Not significant
Gene_035,0.172,0.473,Not significant
Gene_036,0.401,1.051,Not significant
Gene_037,-0.502,0.457,Not significant
Gene_038,1.173,0.054,Not significant
Gene_039,-0.214,0.038,Not significant
Gene_040,-0.347,0.812,Not significant
Gene_041,0.386,0.314,Not significant
Gene_042,-1.469,0.385,Not significant
Gene_043,-0.632,0.288,Not significant
Gene_044,0.785,0.239,Not significant
Gene_045,-1.39,1.16,Not significant
Gene_046,0.894,0.071,Not significant
Gene_047,1.209,0.011,Not significant
Gene_048,-0.296,0.173,Not significant
Gene_049,0.233,0.169,Not significant
Gene_050,0.895,0.258,Not significant
Gene_051,-0.373,0.435,Not significant
Gene_052,0.694,0.718,Not significant
Gene_053,-0.537,0.218,Not significant
Gene_054,-0.382,1.033,Not significant
Gene_055,-0.639,0.079,Not significant
Gene_056,0.274,0.347,Not significant
Gene_057,0.926,0.353,Not significant
Gene_058,-0.147,0.443,Not significant
Gene_059,-1.017,0.013,Not significant
Gene_060,-0.866,0.665,Not significant
Gene_061,0.316,0.713,Not significant
Gene_062,1.475,0.683,Not significant
Gene_063,0.315,0.17,Not significant
Gene_064,-0.31,0.003,Not significant
Gene_065,0.613,0.563,Not significant
Gene_066,-0.192,0.041,Not significant
Gene_067,-0.303,0.502,Not significant
Gene_068,-0.767,0.177,Not significant
Gene_069,1.127,1.053,Not significant
Gene_070,-2.031,0.283,Not significant
Gene_071,0.638,0.173,Not significant
Gene_072,-0.371,0.252,Not significant
Gene_073,-0.328,0.559,Not significant
Gene_074,1.354,0.077,Not significant
Gene_075,-0.571,0.012,Not significant
Gene_076,-0.544,0.313,Not significant
Gene_077,-0.104,0.184,Not significant
Gene_078,0.331,0.096,Not significant
Gene_079,-0.353,0.554,Not significant
Gene_080,-1.259,0.06,Not significant
Gene_081,-0.693,0.5,Not significant
Gene_082,1.025,0.104,Not significant
Gene_083,0.06,0.806,Not significant
Gene_084,0.361,0.489,Not significant
Gene_085,-0.209,0.254,Not significant
Gene_086,-0.528,0.261,Not significant
Gene_087,1.342,0.067,Not significant
Gene_088,-0.151,0.002,Not significant
Gene_089,-0.355,0.819,Not significant
Gene_090,0.877,0.512,Not significant
